"Filter","All","Trial","PWinsAtTrial","DWinsAtTrial","TrialDamages","PWelfare","DWelfare","LiabStr 1","LiabStrPct 1","LiabStr 2","LiabStrPct 2","LiabStr 3","LiabStrPct 3","LiabStr 4","LiabStrPct 4","LiabStr 5","LiabStrPct 5","DamStr 1","DamStr 2","DamStr 3","DamStr 4","DamStr 5","PLiabilitySignal 1","PLiabilitySignal 2","PLiabilitySignal 3","PLiabilitySignal 4","PLiabilitySignal 5","DLiabilitySignal 1","DLiabilitySignal 2","DLiabilitySignal 3","DLiabilitySignal 4","DLiabilitySignal 5"
"LiabStr 3 DamStr 2",0.0551,1,0.531205,0.468795,39840.3,1029680,870320,0,0,0,0,1,0.196885,0,0,0,0,0,1,0,0,0,0.00507983,0.241655,0.587083,0.1582,0.00798258,0.00798258,0.202467,0.585631,0.196662,0.00725689
"LiabStr 3 DamStr 3",0.0557,1,0.511845,0.488155,49318,1048640,851365,0,0,0,0,1,0.199028,0,0,0,0,0,0,1,0,0,0.00215363,0.203159,0.582197,0.207466,0.00502513,0.00430725,0.181622,0.605169,0.203877,0.00502513
"LiabStr 3 DamStr 4",0.0584,1,0.483893,0.516107,57556.5,1065110,834888,0,0,0,0,1,0.208458,0,0,0,0,0,0,0,1,0,0.00822481,0.14599,0.571624,0.271419,0.0027416,0.00616861,0.196025,0.579164,0.21316,0.00548321
"LiabStr 3 DamStr 5",0.0565,1,0.500708,0.499292,69015.6,1088030,811970,0,0,0,0,1,0.201743,0,0,0,0,0,0,0,0,1,0.00495751,0.172805,0.582153,0.233003,0.00708215,0.00779037,0.212465,0.582861,0.194759,0.00212465
"LiabStr 4",0.1618,1,0.873918,0.126082,88547.6,1127090,772906,0,0,0,0,0,0,1,1,0,0,0.184672,0.18492,0.208158,0.214586,0.207664,0,0.00543881,0.195056,0.609642,0.189864,0,0.00494438,0.185661,0.608653,0.200742
"LiabStr 4 DamStr 1",0.0299,1,0.879518,0.120482,53212.9,1056420,843575,0,0,0,0,0,0,1,0.184672,0,0,1,0,0,0,0,0,0.00669344,0.208835,0.625167,0.159304,0,0.00535475,0.186078,0.618474,0.190094
"LiabStr 4 DamStr 2",0.0299,1,0.891711,0.108289,69619,1089240,810763,0,0,0,0,0,0,1,0.18492,0,0,0,1,0,0,0,0,0.00534759,0.203209,0.620321,0.171123,0,0.00534759,0.161765,0.605615,0.227273
"LiabStr 4 DamStr 3",0.0337,1,0.880048,0.119952,87678.1,1125360,774645,0,0,0,0,0,0,1,0.208158,0,0,0,0,1,0,0,0,0.0023753,0.163895,0.618765,0.214964,0,0.00118765,0.205463,0.605701,0.187648
"LiabStr 4 DamStr 4",0.0347,1,0.854839,0.145161,104695,1159390,740612,0,0,0,0,0,0,1,0.214586,0,0,0,0,0,1,0,0,0.00345622,0.179724,0.630184,0.186636,0,0.00576037,0.18894,0.593318,0.211982
"LiabStr 4 DamStr 5",0.0336,1,0.866667,0.133333,121012,1192020,707977,0,0,0,0,0,0,1,0.207664,0,0,0,0,0,0,1,0,0.00952381,0.222619,0.555952,0.211905,0,0.00714286,0.183333,0.621429,0.188095
"LiabStr 5",0.2041,1,0.983343,0.0166569,97584.8,1145170,754831,0,0,0,0,0,0,0,0,1,1,0.203998,0.218695,0.191848,0.19028,0.195179,0,0.000195963,0.00646678,0.200274,0.793063,0,0.000195963,0.00587889,0.192044,0.801881
"LiabStr 5 DamStr 1",0.0416,1,0.982709,0.0172911,60086.5,1070170,829828,0,0,0,0,0,0,0,0,1,0.203998,1,0,0,0,0,0,0,0.00288184,0.176753,0.820365,0,0,0.0067243,0.212296,0.78098
"LiabStr 5 DamStr 2",0.0446,1,0.979391,0.0206093,76635.3,1103270,796730,0,0,0,0,0,0,0,0,1,0.218695,0,1,0,0,0,0,0.000896057,0.00806452,0.199821,0.791219,0,0,0.00358423,0.16129,0.835125
"LiabStr 5 DamStr 3",0.0392,1,0.988764,0.011236,98901.9,1147800,752197,0,0,0,0,0,0,0,0,1,0.191848,0,0,1,0,0,0,0,0.0081716,0.154239,0.837589,0,0,0.00715015,0.199183,0.793667
"LiabStr 5 DamStr 4",0.0388,1,0.981462,0.0185376,119645,1189290,710712,0,0,0,0,0,0,0,0,1,0.19028,0,0,0,1,0,0,0,0.00720906,0.257467,0.735324,0,0,0.00823893,0.203913,0.787848
"LiabStr 5 DamStr 5",0.0398,1,0.98494,0.0150602,137450,1224900,675101,0,0,0,0,0,0,0,0,1,0.195179,0,0,0,0,1,0,0,0.0060241,0.214859,0.779116,0,0.00100402,0.00401606,0.186747,0.808233
