"OptionSet","Exploit","Filter","All","D2 0.17  ","D2 0.33  ","D2 0.5  ","D2 0.67  ","D2 0.83  "
"bothhighcosts","0.003821785712785888","DSignal Liab 1 Dam 5",0.0044,1,0,0,0,0
"bothhighcosts","0.003821785712785888","DSignal Liab 2 Dam 1",0.0039,0.875,0,0.125,0,0
"bothhighcosts","0.003821785712785888","DSignal Liab 2 Dam 2",0.0166,0.941176,0.0588235,0,0,0
"bothhighcosts","0.003821785712785888","DSignal Liab 2 Dam 3",0.0409,0.119048,0.0833333,0.797619,0,0
"bothhighcosts","0.003821785712785888","DSignal Liab 2 Dam 4",0.0492,0.168317,0.039604,0.782178,0.00990099,0
"bothhighcosts","0.003821785712785888","DSignal Liab 2 Dam 5",0.0765,0.121019,0.044586,0.821656,0.0127389,0
"bothhighcosts","0.003821785712785888","DSignal Liab 3 Dam 1",0.0253,0.807692,0.134615,0.0576923,0,0
"bothhighcosts","0.003821785712785888","DSignal Liab 3 Dam 2",0.0643,0.136364,0.0984848,0.742424,0.0227273,0
"bothhighcosts","0.003821785712785888","DSignal Liab 3 Dam 3",0.1325,0.0330882,0.0808824,0.875,0.0110294,0
"bothhighcosts","0.003821785712785888","DSignal Liab 3 Dam 4",0.2051,0.00475059,0.023753,0.945368,0.0166271,0.00950119
"bothhighcosts","0.003821785712785888","DSignal Liab 3 Dam 5",0.187,0.00260417,0.0390625,0.947917,0.0078125,0.00260417
"bothhighcosts","0.003821785712785888","DSignal Liab 4 Dam 1",0.039,0,0.225,0.65,0.125,0
"bothhighcosts","0.003821785712785888","DSignal Liab 4 Dam 2",0.0409,0.0238095,0.0595238,0.428571,0.488095,0
"bothhighcosts","0.003821785712785888","DSignal Liab 4 Dam 3",0.0122,0,0.08,0.68,0.24,0
"bothhighcosts","0.003821785712785888","DSignal Liab 4 Dam 4",0.001,0,0,0.5,0.5,0
"bothhighcosts","0.003821785712785888","DSignal Liab 4 Dam 5",0.0019,0,0.75,0.25,0,0
"bothhighcosts","0.003821785712785888","DSignal Liab 5 Dam 1",0.0356,0.0136986,0.0547945,0.534247,0.39726,0
"bothhighcosts","0.003821785712785888","DSignal Liab 5 Dam 2",0.0536,0,0.0363636,0.572727,0.390909,0
"bothhighcosts","0.003821785712785888","DSignal Liab 5 Dam 3",0.0019,0,0,0.75,0.25,0
"bothhighcosts","0.003821785712785888","DSignal Liab 5 Dam 4",0,,,,,
"bothhighcosts","0.003821785712785888","DSignal Liab 5 Dam 5",0,,,,,
"shootouthighcosts","0.0012064325842105813","All",1,0.205645,0.235215,0.502016,0.0288978,0.0282258
"shootouthighcosts","0.0012064325842105813","DSignal Liab 1 Dam 1",0.0047,1,0,0,0,0
"shootouthighcosts","0.0012064325842105813","DSignal Liab 1 Dam 2",0.0235,0.971429,0.0285714,0,0,0
"shootouthighcosts","0.0012064325842105813","DSignal Liab 1 Dam 3",0.0289,0.976744,0.0232558,0,0,0
"shootouthighcosts","0.0012064325842105813","DSignal Liab 1 Dam 4",0.0309,0.978261,0.0217391,0,0,0
"shootouthighcosts","0.0012064325842105813","DSignal Liab 1 Dam 5",0.0457,1,0,0,0,0
"shootouthighcosts","0.0012064325842105813","DSignal Liab 2 Dam 1",0.0706,0.171429,0.257143,0.571429,0,0
